t, v
-0.008358, 0.079492
-0.008368, 0.056396
-0.008377, 0.079492
-0.008387, 0.079492
-0.008397, 0.102588
-0.008407, 0.102588
-0.008416, 0.125684
-0.008426, 0.171875
-0.008436, 0.171875
-0.008446, 0.194971
-0.008456, 0.218066
-0.008465, 0.241162
-0.008475, 0.333545
-0.008485, 0.356641
-0.008495, 0.379736
-0.008504, 0.425928
-0.008514, 0.449023
-0.008524, 0.518311
-0.008534, 0.564502
-0.008543, 0.610693
-0.008553, 0.679980
-0.008563, 0.703076
-0.008573, 0.749268
-0.008583, 0.795459
-0.008592, 0.864746
-0.008602, 0.957129
-0.008612, 0.957129
-0.008622, 1.049512
-0.008631, 1.095703
-0.008641, 1.141895
-0.008651, 1.188086
-0.008661, 1.234277
-0.008671, 1.280469
-0.008680, 1.372852
-0.008690, 1.419043
-0.008700, 1.442139
-0.008710, 1.511426
-0.008719, 1.557617
-0.008729, 1.557617
-0.008739, 1.603809
-0.008749, 1.696191
-0.008759, 1.719287
-0.008768, 1.765479
-0.008778, 1.788574
-0.008788, 1.811670
-0.008798, 1.834766
-0.008807, 1.857861
-0.008817, 1.880957
-0.008827, 1.904053
-0.008837, 1.950244
-0.008847, 1.927148
-0.008856, 1.950244
-0.008866, 1.973340
-0.008876, 1.996436
-0.008886, 1.973340
-0.008895, 1.973340
-0.008905, 1.996436
-0.008915, 1.973340
-0.008925, 1.973340
-0.008935, 1.950244
-0.008944, 1.950244
-0.008954, 1.927148
-0.008964, 1.904053
-0.008974, 1.857861
-0.008983, 1.857861
-0.008993, 1.834766
-0.009003, 1.788574
-0.009013, 1.765479
-0.009022, 1.742383
-0.009032, 1.673096
-0.009042, 1.650000
-0.009052, 1.580713
-0.009062, 1.557617
-0.009071, 1.511426
-0.009081, 1.442139
-0.009091, 1.442139
-0.009101, 1.395947
-0.009110, 1.280469
-0.009120, 1.257373
-0.009130, 1.211182
-0.009140, 1.141895
-0.009150, 1.095703
-0.009159, 1.072607
-0.009169, 1.026416
-0.009179, 0.980225
-0.009189, 0.934033
-0.009198, 0.864746
-0.009208, 0.818555
-0.009218, 0.795459
-0.009228, 0.749268
-0.009238, 0.679980
-0.009247, 0.656885
-0.009257, 0.564502
-0.009267, 0.541406
-0.009277, 0.472119
-0.009286, 0.449023
-0.009296, 0.402832
-0.009306, 0.379736
-0.009316, 0.310449
-0.009326, 0.264258
-0.009335, 0.241162
-0.009345, 0.218066
-0.009355, 0.171875
-0.009365, 0.194971
-0.009374, 0.125684
-0.009384, 0.125684
-0.009394, 0.079492
-0.009404, 0.102588
-0.009413, 0.079492
-0.009423, 0.079492
-0.009433, 0.056396
-0.009443, 0.079492
-0.009453, 0.056396
-0.009462, 0.056396
-0.009472, 0.079492
-0.009482, 0.079492
-0.009492, 0.102588
-0.009501, 0.102588
-0.009511, 0.102588
-0.009521, 0.148779
-0.009531, 0.148779
-0.009541, 0.194971
-0.009550, 0.218066
-0.009560, 0.241162
-0.009570, 0.287354
-0.009580, 0.333545
-0.009589, 0.379736
-0.009599, 0.402832
-0.009609, 0.449023
-0.009619, 0.495215
-0.009629, 0.541406
-0.009638, 0.587598
-0.009648, 0.633789
-0.009658, 0.679980
-0.009668, 0.749268
-0.009677, 0.772363
-0.009687, 0.841650
-0.009697, 0.910937
-0.009707, 0.934033
-0.009717, 1.003320
-0.009726, 1.049512
-0.009736, 1.072607
-0.009746, 1.164990
-0.009756, 1.234277
-0.009765, 1.303564
-0.009775, 1.303564
-0.009785, 1.372852
-0.009795, 1.419043
-0.009804, 1.442139
-0.009814, 1.534521
-0.009824, 1.580713
-0.009834, 1.603809
-0.009844, 1.650000
-0.009853, 1.673096
-0.009863, 1.719287
-0.009873, 1.742383
-0.009883, 1.788574
-0.009892, 1.834766
-0.009902, 1.857861
-0.009912, 1.880957
-0.009922, 1.904053
-0.009932, 1.927148
-0.009941, 1.927148
-0.009951, 1.950244
-0.009961, 1.973340
-0.009971, 1.973340
-0.009980, 1.973340
-0.009990, 1.973340
-0.010000, 1.996436
